scenario,median_time_ms,p95_time_ms,p99_time_ms
"sac,TX=3200,T=1",337.5648400000009,371.6232865999998,388.9421449599968
"sac,TX=3200,T=8",240.12125849999939,263.5176177000041,276.82153247999963
"custom_token,TX=1600,T=1",325.4386179999992,349.2512863999984,362.0251991299972
"custom_token,TX=1600,T=8",161.13189349999993,177.21256544999935,183.21942718999915
"soroswap,TX=1000,T=1",479.7017085000007,510.7205329999946,528.5269664400009
"soroswap,TX=1000,T=8",180.59464449999996,195.96365914999973,213.6850904799977
