scenario,median_time_ms,p95_time_ms,p99_time_ms
"sac,TX=3200,T=1",298.372360500005,327.18799915000034,344.64530951999564
"sac,TX=3200,T=8",196.8308505,214.48611759999991,231.1543731300003
"custom_token,TX=1600,T=1",273.1498285000007,293.77379225000004,310.9456730800003
"custom_token,TX=1600,T=8",127.11536200000091,139.253684049997,146.56498642999972
"soroswap,TX=1000,T=1",426.9076744999975,454.0903378999994,459.7178635699938
"soroswap,TX=1000,T=8",149.71253249999972,165.75253850000024,175.38902506999827
