scenario,median_time_ms,p95_time_ms,p99_time_ms
"sac,TX=3200,T=1",305.0832699999992,328.24081280000155,345.8619323500045
"sac,TX=3200,T=8",200.85186199999998,223.70137944999925,239.71351545000005
"custom_token,TX=1600,T=1",295.2982734999987,318.2537639500033,325.8576103299988
"custom_token,TX=1600,T=8",128.07441999999992,140.2383675499988,146.07508058000235
"soroswap,TX=1000,T=1",443.2655024999949,474.08573100000024,493.5304318800002
"soroswap,TX=1000,T=8",147.80120100000022,160.15533555000002,171.82685714000084
