scenario,median_time_ms,p95_time_ms,p99_time_ms
"sac,TX=3200,T=1",329.1449225000033,369.83846210000485,406.4700797800028
"sac,TX=3200,T=8",219.53193999999985,237.34856690000558,250.0392716600006
"custom_token,TX=1600,T=1",311.46632899999986,344.25699559999657,374.23888106000373
"custom_token,TX=1600,T=8",142.2905520000013,156.84723675000006,160.17018670000058
"soroswap,TX=1000,T=1",470.75309850000485,503.05260984999404,528.556737839998
"soroswap,TX=1000,T=8",158.11927200000082,169.86373689999905,177.6133147900012
