scenario,median_time_ms,p95_time_ms,p99_time_ms
"sac,TX=6000,T=4",279.0211679999984,315.4429151999957,339.92180601999667
"sac,TX=6000,T=8",268.1066739999983,284.2595239500003,317.7653894599996
"custom_token,TX=3000,T=4",217.58981100000165,247.9398941499983,273.4111429799994
"custom_token,TX=3000,T=8",185.31896299999983,199.4529299499998,210.4553713199998
"soroswap,TX=2000,T=4",343.11336100000153,369.42674364999124,381.8629574200057
"soroswap,TX=2000,T=8",285.13680150000073,306.7516151000031,316.04347147999977
